Time (s),Data
162.96386496386498,0.0
162.96396396396398,0.005
162.96406296406298,0.0025
162.96416196416197,0.0075
162.96426096426097,0.0
162.96435996435997,0.0025
162.96445896445897,0.0025
162.96455796455797,0.005
162.96465696465697,0.005
162.96475596475597,-0.0025
162.96485496485496,-0.0025
162.96495396495396,0.0
162.96505296505296,0.0025
162.965151965152,-0.0025
162.965250965251,-0.0025
162.96534996535,0.0
162.96544896544899,-0.005
162.96554796554798,-0.01
162.96564696564698,-0.005
162.96574596574598,-0.005
162.96584496584498,-0.005
162.96594396594398,0.0
162.96604296604298,-0.0025
162.96614196614198,-0.005
162.96624096624097,-0.005
162.96633996633997,-0.0025
162.96643896643897,-0.0025
162.96653796653797,-0.0025
162.96663696663697,-0.0025
162.96673596673597,0.0
162.96683496683497,0.0
162.96693396693396,-0.0025
162.96703296703296,-0.005
162.967131967132,-0.0075
162.967230967231,-0.0025
162.96732996733,-0.0025
162.967428967429,0.0025
162.96752796752799,-0.0025
162.96762696762698,-0.0025
162.96772596772598,-0.005
162.96782496782498,-0.0025
162.96792396792398,-0.0025
162.96802296802298,0.0025
162.96812196812198,-0.005
162.96822096822098,-0.005
162.96831996831997,0.0
162.96841896841897,-0.0025
162.96851796851797,-0.005
162.96861696861697,-0.005
162.96871596871597,-0.0025
162.96881496881497,-0.0025
162.96891396891397,0.0
162.96901296901297,-0.0075
162.969111969112,-0.005
162.969210969211,0.0
162.96930996931,-0.0025
162.969408969409,0.0025
162.969507969508,-0.0025
162.96960696960699,0.0025
162.96970596970598,0.0025
162.96980496980498,0.005
162.96990396990398,0.005
162.97000297000298,-0.0025
162.97010197010198,0.0025
162.97020097020098,0.005
162.97029997029998,0.0075
162.97039897039897,0.005
162.97049797049797,0.0025
162.97059697059697,0.0
162.97069597069597,0.0
162.97079497079497,-0.0025
162.97089397089397,-0.0025
162.970992970993,0.0
162.971091971092,0.0
162.971190971191,0.0
162.97128997129,0.005
162.971388971389,0.0
162.971487971488,0.0025
162.971586971587,0.0
162.971685971686,0.005
162.97178497178498,0.0025
162.97188397188398,-0.0025
162.97198297198298,-0.005
162.97208197208198,-0.0025
162.97218097218098,-0.005
162.97227997227998,-0.005
162.97237897237898,-0.005
162.97247797247798,-0.0025
162.97257697257697,-0.0025
162.97267597267597,-0.0025
162.97277497277497,0.0
162.97287397287397,-0.0025
162.972972972973,-0.005
162.973071973072,-0.0025
162.973170973171,-0.0025
162.97326997327,0.0025
162.973368973369,0.0025
162.973467973468,0.0
162.973566973567,-0.0025
162.973665973666,-0.0025
162.973764973765,-0.0025
162.97386397386398,0.0025
162.97396297396298,0.0
162.97406197406198,0.0
162.97416097416098,0.0025
162.97425997425998,0.0025
162.97435897435898,0.0
162.97445797445798,0.005
162.97455697455698,0.0025
162.97465597465597,0.0025
162.97475497475497,0.005
162.97485397485397,0.005
162.974952974953,0.0075
162.975051975052,0.005
162.975150975151,0.0025
162.97524997525,0.005
162.975348975349,0.005
162.975447975448,0.005
162.975546975547,0.005
162.975645975646,0.0025
162.975744975745,0.0025
162.975843975844,0.0
162.97594297594298,0.0025
162.97604197604198,0.0025
162.97614097614098,0.0
162.97623997623998,-0.0025
162.97633897633898,0.0
162.97643797643798,-0.0025
162.97653697653698,0.0
162.97663597663598,0.0025
162.97673497673497,-0.0025
162.97683397683397,0.005
162.976932976933,0.0
162.977031977032,-0.0025
162.977130977131,0.0
162.97722997723,0.0
162.977328977329,0.0
162.977427977428,0.0075
162.977526977527,0.0025
162.977625977626,0.0
162.977724977725,0.0
162.977823977824,-0.005
162.977922977923,-0.0075
162.97802197802199,-0.0075
162.97812097812098,-0.005
162.97821997821998,-0.0025
162.97831897831898,-0.0025
