Time (s),Data
138.8962478962479,0.0
138.8963468963469,-0.0025
138.8964458964459,0.005
138.8965448965449,0.0
138.8966438966439,0.005
138.8967428967429,-0.0025
138.8968418968419,-0.005
138.89694089694092,-0.0025
138.89703989703992,-0.005
138.89713889713892,-0.0075
138.89723789723791,-0.005
138.8973368973369,-0.0025
138.8974358974359,-0.005
138.8975348975349,-0.0025
138.8976338976339,0.0
138.8977328977329,0.0
138.8978318978319,-0.0025
138.8979308979309,-0.0025
138.8980298980299,-0.0025
138.8981288981289,-0.0025
138.8982278982279,-0.005
138.8983268983269,-0.005
138.8984258984259,-0.0075
138.8985248985249,-0.0075
138.8986238986239,-0.005
138.8987228987229,-0.0025
138.8988218988219,0.0
138.89892089892092,-0.0025
138.89901989901992,-0.0025
138.89911889911892,0.0
138.89921789921792,0.005
138.89931689931691,0.0
138.8994158994159,0.0
138.8995148995149,0.0
138.8996138996139,-0.0025
138.8997128997129,0.0025
138.8998118998119,0.0025
138.8999108999109,0.0025
138.9000099000099,-0.0025
138.9001089001089,-0.005
138.9002079002079,0.0
138.9003069003069,0.0025
138.9004059004059,0.0025
138.9005049005049,0.0025
138.9006039006039,0.0025
138.9007029007029,0.0075
138.90080190080192,0.005
138.90090090090092,0.0025
138.90099990099992,0.005
138.90109890109892,0.0025
138.90119790119792,0.0025
138.90129690129692,0.0
138.90139590139592,0.0025
138.9014949014949,0.005
138.9015939015939,0.0
138.9016929016929,0.0025
138.9017919017919,0.0025
138.9018909018909,0.0
138.9019899019899,0.0
138.9020889020889,-0.0025
138.9021879021879,-0.005
138.9022869022869,-0.0025
138.9023859023859,0.005
138.9024849024849,0.0025
138.9025839025839,0.0025
138.9026829026829,0.0025
138.90278190278192,0.0025
138.90288090288092,-0.0025
138.90297990297992,0.0
138.90307890307892,-0.0025
138.90317790317792,-0.005
138.90327690327692,-0.005
138.90337590337592,-0.005
138.90347490347492,-0.005
138.9035739035739,-0.0025
138.9036729036729,-0.0025
138.9037719037719,0.0025
138.9038709038709,-0.0025
138.9039699039699,-0.0025
138.9040689040689,0.0025
138.9041679041679,-0.0025
138.9042669042669,-0.0025
138.9043659043659,0.005
138.9044649044649,-0.0025
138.9045639045639,0.0025
138.9046629046629,0.005
138.90476190476193,-0.005
138.90486090486093,-0.0025
138.90495990495992,-0.0025
138.90505890505892,-0.0075
138.90515790515792,-0.005
138.90525690525692,-0.005
138.90535590535592,0.0
138.90545490545492,0.0
138.90555390555392,0.0
138.90565290565291,-0.005
138.9057519057519,-0.0025
138.9058509058509,0.0
138.9059499059499,-0.0025
138.9060489060489,-0.005
138.9061479061479,-0.0025
138.9062469062469,-0.0075
138.9063459063459,-0.0075
138.9064449064449,-0.005
138.9065439065439,-0.0025
138.90664290664293,-0.0075
138.90674190674193,-0.0075
138.90684090684093,-0.0075
138.90693990693993,-0.005
138.90703890703892,-0.0025
138.90713790713792,0.0025
138.90723690723692,0.005
138.90733590733592,0.0
138.90743490743492,0.0025
138.90753390753392,0.005
138.90763290763292,0.0
138.90773190773191,0.0
138.9078309078309,0.0
138.9079299079299,0.005
138.9080289080289,0.0075
138.9081279081279,0.0
138.9082269082269,0.0
138.9083259083259,-0.0075
138.9084249084249,-0.005
138.9085239085239,-0.0025
138.90862290862293,-0.0025
138.90872190872193,-0.005
138.90882090882093,-0.005
138.90891990891993,-0.0075
138.90901890901893,-0.0075
138.90911790911792,-0.0025
138.90921690921692,-0.0025
138.90931590931592,-0.0025
138.90941490941492,0.0
138.90951390951392,-0.01
138.90961290961292,-0.0025
138.90971190971192,-0.005
138.90981090981091,-0.0025
138.9099099099099,-0.01
138.9100089100089,0.0
138.9101079101079,-0.0075
138.9102069102069,-0.0025
138.9103059103059,-0.005
138.9104049104049,-0.0075
138.9105039105039,0.0025
138.91060291060293,-0.0025
138.91070191070193,0.005
138.91080091080093,-0.0075
138.91089991089993,0.005
138.91099891099893,-0.005
138.91109791109793,-0.0025
138.91119691119692,-0.005
138.91129591129592,0.0
138.91139491139492,0.0025
138.91149391149392,0.005
138.91159291159292,0.0
138.91169191169192,0.0
138.91179091179092,0.0
138.91188991188992,0.0075
138.9119889119889,-0.0025
138.9120879120879,-0.0025
138.9121869121869,-0.01
138.9122859122859,-0.0025
138.9123849123849,-0.0025
138.9124839124839,0.0
138.91258291258293,-0.0025
138.91268191268193,-0.0025
138.91278091278093,-0.005
138.91287991287993,-0.0075
138.91297891297893,0.0
138.91307791307793,-0.005
138.91317691317693,-0.005
138.91327591327592,-0.0025
138.91337491337492,-0.0025
138.91347391347392,-0.0075
138.91357291357292,-0.005
138.91367191367192,-0.005
138.91377091377092,0.0025
138.91386991386992,-0.005
138.91396891396892,-0.0025
138.9140679140679,0.0025
138.9141669141669,0.0
138.9142659142659,-0.005
138.9143649143649,-0.0075
138.91446391446394,-0.005
138.91456291456294,0.0
138.91466191466193,-0.0075
138.91476091476093,-0.0025
138.91485991485993,-0.0075
138.91495891495893,-0.0075
138.91505791505793,-0.01
138.91515691515693,-0.0025
138.91525591525593,-0.0025
138.91535491535492,-0.005
138.91545391545392,-0.0025
138.91555291555292,0.0
138.91565191565192,0.0
138.91575091575092,-0.005
138.91584991584992,-0.0075
138.91594891594892,-0.0075
138.91604791604792,0.0025
138.91614691614691,-0.0025
138.9162459162459,-0.005
138.9163449163449,-0.0075
138.91644391644394,0.0025
138.91654291654294,0.0
138.91664191664194,0.0025
138.91674091674093,0.0
138.91683991683993,0.0
138.91693891693893,0.0025
138.91703791703793,0.0025
138.91713691713693,-0.0025
138.91723591723593,0.0
138.91733491733493,-0.005
138.91743391743393,-0.0025
138.91753291753292,0.0
138.91763191763192,0.0025
138.91773091773092,0.0025
138.91782991782992,-0.0025
138.91792891792892,-0.005
138.91802791802792,-0.005
138.91812691812692,-0.0025
138.91822591822591,-0.005
138.9183249183249,-0.0025
138.91842391842394,-0.0025
138.91852291852294,-0.005
138.91862191862194,-0.005
138.91872091872094,-0.005
138.91881991881993,-0.0025
138.91891891891893,-0.005
138.91901791901793,-0.01
138.91911691911693,-0.005
138.91921591921593,0.0
138.91931491931493,-0.0025
138.91941391941393,-0.0025
138.91951291951293,-0.005
138.91961191961192,0.0
138.91971091971092,0.0
138.91980991980992,-0.0025
138.91990891990892,0.0
138.92000792000792,-0.0025
138.92010692010692,0.0
138.92020592020592,-0.0025
138.92030492030491,-0.005
138.92040392040394,-0.0025
138.92050292050294,-0.0025
138.92060192060194,-0.005
138.92070092070094,0.0
138.92079992079994,-0.0025
138.92089892089894,-0.0025
138.92099792099793,-0.0025
138.92109692109693,-0.0025
138.92119592119593,-0.0025
138.92129492129493,-0.0025
138.92139392139393,0.0
138.92149292149293,0.0
138.92159192159193,0.0025
138.92169092169092,0.005
138.92178992178992,0.0025
