Tiempo (s),Datos
102.36034176546823,0.055
102.36038976623625,0.049999997
102.36043776700427,0.055
102.36048576777227,0.06
102.3605337685403,0.055
102.3605817693083,0.055
102.36062977007632,0.055
102.36067777084433,0.055
102.36072577161234,0.049999997
102.36077377238036,0.055
102.36082177314836,0.049999997
102.36086977391638,0.055
102.3609177746844,0.055
102.3609657754524,0.055
102.36101377622042,0.055
102.36106177698842,0.049999997
102.36110977775644,0.055
102.36115777852444,0.055
102.36120577929246,0.055
102.36125378006048,0.049999997
102.36130178082848,0.049999997
102.3613497815965,0.049999997
102.3613977823645,0.055
102.36144578313252,0.049999997
102.36149378390054,0.055
102.36154178466855,0.055
102.36158978543656,0.049999997
102.36163778620457,0.055
102.36168578697259,0.049999997
102.3617337877406,0.055
102.36178178850861,0.055
102.36182978927663,0.055
102.36187779004463,0.055
102.36192579081265,0.055
102.36197379158065,0.049999997
102.36202179234867,0.044999998
102.36206979311669,0.055
102.36211779388469,0.06
102.36216579465271,0.055
102.36221379542071,0.055
102.36226179618873,0.055
102.36230979695675,0.049999997
102.36235779772475,0.055
102.36240579849277,0.055
102.36245379926078,0.055
102.3625018000288,0.055
102.36254980079681,0.055
102.36259780156482,0.055
102.36264580233284,0.049999997
102.36269380310084,0.055
102.36274180386886,0.049999997
102.36278980463686,0.06
102.36283780540488,0.049999997
102.3628858061729,0.055
102.3629338069409,0.055
102.36298180770892,0.055
102.36302980847692,0.049999997
102.36307780924494,0.055
102.36312581001296,0.049999997
102.36317381078096,0.055
102.36322181154898,0.055
102.36326981231699,0.049999997
102.363317813085,0.055
102.36336581385302,0.055
102.36341381462103,0.049999997
102.36346181538904,0.055
102.36350981615705,0.055
102.36355781692507,0.049999997
102.36360581769307,0.055
102.36365381846109,0.049999997
102.3637018192291,0.049999997
102.36374981999711,0.044999998
102.36379782076513,0.055
102.36384582153313,0.055
102.36389382230115,0.055
102.36394182306917,0.049999997
102.36398982383717,0.049999997
102.36403782460519,0.055
102.3640858253732,0.049999997
102.36413382614121,0.055
102.36418182690923,0.055
102.36422982767724,0.055
102.36427782844525,0.049999997
102.36432582921326,0.06
102.36437382998128,0.055
102.36442183074928,0.049999997
102.3644698315173,0.055
102.36451783228532,0.06
102.36456583305332,0.055
102.36461383382134,0.055
102.36466183458934,0.06
102.36470983535736,0.055
102.36475783612538,0.055
102.36480583689338,0.055
102.3648538376614,0.055
102.3649018384294,0.049999997
102.36494983919742,0.049999997
102.36499783996544,0.055
102.36504584073344,0.055
102.36509384150146,0.055
102.36514184226947,0.06
102.36518984303748,0.055
102.36523784380549,0.049999997
102.3652858445735,0.055
102.36533384534152,0.055
102.36538184610953,0.055
102.36542984687755,0.055
102.36547784764555,0.055
102.36552584841357,0.055
102.36557384918159,0.055
102.36562184994959,0.055
102.36566985071761,0.049999997
102.36571785148561,0.055
102.36576585225363,0.06
102.36581385302165,0.055
102.36586185378965,0.055
102.36590985455767,0.055
102.36595785532568,0.055
102.3660058560937,0.055
102.3660538568617,0.055
102.36610185762972,0.055
102.36614985839773,0.055
102.36619785916574,0.06
102.36624585993376,0.049999997
102.36629386070176,0.055
102.36634186146978,0.055
102.3663898622378,0.049999997
102.3664378630058,0.055
102.36648586377382,0.055
102.36653386454182,0.055
102.36658186530984,0.06
102.36662986607786,0.049999997
102.36667786684586,0.055
102.36672586761388,0.049999997
102.36677386838188,0.055
