Tiempo (s),Datos
26.96732996732997,0.005
26.96742896742897,0.005
26.967527967527968,0.005
26.96762696762697,0.0
26.96772596772597,0.0
26.96782496782497,0.0025
26.96792396792397,-0.0025
26.968022968022968,0.0
26.96812196812197,0.0
26.96822096822097,-0.0025
26.96831996831997,0.005
26.96841896841897,0.0
26.968517968517972,0.0
26.96861696861697,0.0
26.96871596871597,0.0
26.96881496881497,0.0
26.96891396891397,0.0
26.969012969012972,0.0025
26.96911196911197,0.0025
26.96921096921097,0.0
26.969309969309972,0.0025
26.96940896940897,0.0
26.969507969507973,0.0025
26.96960696960697,0.0025
26.96970596970597,0.0025
26.969804969804972,0.005
26.96990396990397,0.0025
26.970002970002973,0.0025
26.97010197010197,-0.0025
26.97020097020097,0.0
26.970299970299973,0.0025
26.97039897039897,0.0025
26.970497970497973,0.0
26.970596970596972,0.005
26.97069597069597,-0.0025
26.970794970794973,0.0
26.97089397089397,-0.0025
26.970992970992974,-0.005
26.971091971091973,0.0
26.97119097119097,0.0
26.971289971289973,0.0025
26.971388971388972,0.0025
26.971487971487974,0.0
26.971586971586973,-0.0025
26.97168597168597,0.0
26.971784971784974,0.0
26.971883971883972,0.0025
26.971982971982975,0.0025
26.972081972081973,0.005
26.972180972180976,0.0
26.972279972279974,0.0025
26.972378972378973,0.0
26.972477972477975,0.0
26.972576972576974,0.0025
26.972675972675976,0.0
26.972774972774975,0.0025
26.972873972873973,0.0
26.972972972972975,0.0025
26.973071973071974,0.0025
26.973170973170976,0.0
26.973269973269975,0.005
26.973368973368974,0.0025
26.973467973467976,0.0
26.973566973566975,0.0025
26.973665973665977,0.0025
26.973764973764975,0.0
26.973863973863974,0.0
26.973962973962976,0.0
26.974061974061975,0.0
26.974160974160977,0.0
26.974259974259976,0.0
26.974358974358974,0.0
26.974457974457977,0.0
26.974556974556975,0.0025
26.974655974655978,0.0025
26.974754974754976,0.0025
26.974853974853975,0.0
26.974952974952977,0.0
26.975051975051976,0.0025
26.975150975150978,0.0025
26.975249975249977,0.0
26.97534897534898,0.005
