Time (s),Data
32.18696299140786,0.055
32.18701099217587,0.049999997
32.18705899294388,0.049999997
32.1871069937119,0.049999997
32.18715499447991,0.055
32.18720299524792,0.049999997
32.18725099601593,0.06
32.187298996783944,0.049999997
32.187346997551955,0.055
32.187394998319974,0.055
32.187442999087985,0.055
32.187490999855996,0.049999997
32.18753900062401,0.055
32.18758700139202,0.049999997
32.187635002160036,0.049999997
32.18768300292805,0.049999997
32.18773100369606,0.049999997
32.18777900446407,0.055
32.18782700523208,0.044999998
32.18787500600009,0.049999997
32.18792300676811,0.055
32.18797100753612,0.055
32.18801900830413,0.055
32.18806700907214,0.055
32.18811500984015,0.055
32.188163010608164,0.049999997
32.18821101137618,0.06
32.188259012144194,0.055
32.188307012912205,0.055
32.188355013680216,0.055
32.18840301444823,0.055
32.188451015216245,0.055
32.188499015984256,0.055
32.18854701675227,0.049999997
32.18859501752028,0.049999997
32.18864301828829,0.049999997
32.1886910190563,0.055
32.18873901982432,0.055
32.18878702059233,0.055
32.18883502136034,0.049999997
32.18888302212835,0.049999997
32.18893102289636,0.049999997
32.18897902366437,0.055
32.18902702443239,0.055
32.1890750252004,0.06
32.189123025968414,0.055
32.189171026736425,0.06
32.189219027504436,0.055
32.189267028272454,0.055
32.189315029040465,0.049999997
32.189363029808476,0.049999997
32.18941103057649,0.049999997
32.1894590313445,0.055
32.18950703211251,0.055
32.18955503288053,0.055
32.18960303364854,0.055
32.18965103441655,0.06
32.18969903518456,0.06
32.18974703595257,0.049999997
32.18979503672058,0.06
32.1898430374886,0.049999997
32.18989103825661,0.06
32.18993903902462,0.06
32.18998703979263,0.065
32.190035040560645,0.049999997
32.19008304132866,0.049999997
32.190131042096674,0.055
32.190179042864685,0.055
32.190227043632696,0.06
32.19027504440071,0.049999997
32.19032304516872,0.055
32.190371045936736,0.055
32.19041904670475,0.055
32.19046704747276,0.055
32.19051504824077,0.055
32.19056304900878,0.055
32.19061104977679,0.049999997
32.19065905054481,0.06
32.19070705131282,0.049999997
32.19075505208083,0.065
32.19080305284884,0.055
32.19085105361685,0.065
32.19089905438487,0.055
32.19094705515288,0.055
32.190995055920894,0.055
32.191043056688905,0.055
32.191091057456916,0.06
32.19113905822493,0.055
32.191187058992945,0.049999997
32.191235059760956,0.055
32.19128306052897,0.049999997
32.19133106129698,0.049999997
32.19137906206499,0.055
32.191427062833,0.055
32.19147506360102,0.049999997
32.19152306436903,0.06
32.19157106513704,0.055
32.19161906590505,0.055
32.19166706667306,0.049999997
32.19171506744108,0.049999997
32.19176306820909,0.055
32.1918110689771,0.055
32.191859069745114,0.055
32.191907070513125,0.049999997
32.191955071281136,0.049999997
32.192003072049154,0.049999997
32.192051072817165,0.055
32.192099073585176,0.055
32.19214707435319,0.06
32.1921950751212,0.055
32.19224307588921,0.06
32.19229107665723,0.055
32.19233907742524,0.065
32.19238707819325,0.055
32.19243507896126,0.055
32.19248307972927,0.06
32.19253108049729,0.055
32.1925790812653,0.055
32.19262708203331,0.055
32.19267508280132,0.049999997
32.192723083569334,0.055
32.192771084337345,0.055
32.19281908510536,0.055
32.192867085873374,0.06
32.192915086641385,0.049999997
32.192963087409396,0.049999997
32.19301108817741,0.049999997
32.19305908894542,0.055
32.193107089713436,0.06
32.19315509048145,0.055
32.19320309124946,0.055
32.19325109201747,0.055
32.19329909278548,0.055
32.19334709355349,0.055
32.19339509432151,0.055
32.19344309508952,0.055
32.19349109585753,0.055
32.19353909662554,0.055
32.193587097393554,0.055
32.19363509816157,0.049999997
32.19368309892958,0.055
32.193731099697594,0.055
32.193779100465605,0.049999997
32.193827101233616,0.049999997
32.19387510200163,0.049999997
32.193923102769645,0.055
32.193971103537656,0.049999997
32.19401910430567,0.06
32.19406710507368,0.055
32.19411510584169,0.055
32.1941631066097,0.055
32.19421110737772,0.06
32.19425910814573,0.055
32.19430710891374,0.049999997
32.19435510968175,0.049999997
32.19440311044976,0.049999997
32.19445111121778,0.06
32.19449911198579,0.055
32.1945471127538,0.049999997
32.194595113521814,0.06
32.194643114289825,0.055
32.194691115057836,0.055
32.194739115825854,0.055
32.194787116593865,0.055
32.194835117361876,0.049999997
32.19488311812989,0.06
32.1949311188979,0.055
32.19497911966591,0.055
32.19502712043393,0.055
32.19507512120194,0.055
32.19512312196995,0.049999997
32.19517112273796,0.06
32.19521912350597,0.055
32.19526712427399,0.055
32.195315125042,0.055
32.19536312581001,0.055
32.19541112657802,0.06
32.195459127346034,0.055
32.195507128114045,0.055
32.19555512888206,0.055
32.195603129650074,0.049999997
32.195651130418085,0.06
32.195699131186096,0.055
32.19574713195411,0.055
32.19579513272212,0.049999997
32.195843133490136,0.055
32.19589113425815,0.049999997
32.19593913502616,0.049999997
32.19598713579417,0.055
32.19603513656218,0.055
32.1960831373302,0.049999997
32.19613113809821,0.049999997
32.19617913886622,0.049999997
32.19622713963423,0.055
32.19627514040224,0.049999997
32.196323141170254,0.055
32.19637114193827,0.055
32.19641914270628,0.049999997
32.196467143474294,0.055
32.196515144242305,0.055
32.196563145010316,0.055
32.19661114577833,0.055
32.196659146546345,0.055
32.196707147314356,0.06
32.19675514808237,0.049999997
32.19680314885038,0.06
32.19685114961839,0.055
32.19689915038641,0.06
32.19694715115442,0.06
32.19699515192243,0.06
32.19704315269044,0.055
32.19709115345845,0.06
32.19713915422646,0.055
32.19718715499448,0.049999997
32.19723515576249,0.055
32.1972831565305,0.055
32.197331157298514,0.055
32.197379158066525,0.049999997
32.197427158834536,0.055
32.197475159602554,0.055
32.197523160370565,0.055
32.197571161138576,0.06
32.19761916190659,0.049999997
32.1976671626746,0.055
32.197715163442616,0.055
32.19776316421063,0.055
32.19781116497864,0.049999997
32.19785916574665,0.055
32.19790716651466,0.049999997
32.19795516728267,0.055
32.19800316805069,0.055
32.1980511688187,0.055
32.19809916958671,0.049999997
32.19814717035472,0.055
32.198195171122734,0.055
32.198243171890745,0.055
32.19829117265876,0.055
32.198339173426774,0.049999997
32.198387174194785,0.055
32.198435174962796,0.049999997
32.19848317573081,0.055
32.198531176498825,0.055
32.198579177266836,0.049999997
32.19862717803485,0.055
32.19867517880286,0.055
32.19872317957087,0.049999997
32.19877118033888,0.049999997
32.1988191811069,0.055
32.19886718187491,0.049999997
32.19891518264292,0.055
32.19896318341093,0.055
32.19901118417894,0.049999997
32.199059184946954,0.06
32.19910718571497,0.049999997
32.19915518648298,0.06
32.199203187250994,0.055
