Tiempo (s),Datos
217.76945231123696,0.06
217.76950031200496,0.049999997
217.769548312773,0.065
217.769596313541,0.055
217.769644314309,0.049999997
217.76969231507704,0.055
217.76974031584504,0.049999997
217.76978831661305,0.055
217.76983631738108,0.049999997
217.76988431814908,0.055
217.76993231891709,0.049999997
217.7699803196851,0.055
217.77002832045312,0.055
217.77007632122113,0.049999997
217.77012432198913,0.055
217.77017232275716,0.055
217.77022032352517,0.055
217.77026832429317,0.055
217.77031632506117,0.06
217.7703643258292,0.055
217.7704123265972,0.055
217.7704603273652,0.055
217.77050832813325,0.049999997
217.77055632890125,0.055
217.77060432966925,0.055
217.7706523304373,0.06
217.7707003312053,0.049999997
217.7707483319733,0.055
217.7707963327413,0.055
217.77084433350933,0.049999997
217.77089233427733,0.055
217.77094033504534,0.055
217.77098833581337,0.049999997
217.77103633658137,0.055
217.77108433734938,0.049999997
217.77113233811738,0.055
217.77118033888542,0.049999997
217.77122833965342,0.049999997
217.77127634042142,0.049999997
217.77132434118946,0.049999997
217.77137234195746,0.055
217.77142034272546,0.055
217.7714683434935,0.049999997
217.7715163442615,0.055
217.7715643450295,0.055
217.7716123457975,0.055
217.77166034656554,0.049999997
217.77170834733354,0.06
217.77175634810155,0.055
217.77180434886958,0.055
217.77185234963758,0.049999997
217.7719003504056,0.055
217.7719483511736,0.055
217.77199635194162,0.055
217.77204435270963,0.055
217.77209235347763,0.055
217.77214035424566,0.049999997
217.77218835501367,0.055
217.77223635578167,0.049999997
217.7722843565497,0.049999997
217.7723323573177,0.049999997
217.7723803580857,0.055
217.77242835885372,0.049999997
217.77247635962175,0.055
217.77252436038975,0.049999997
217.77257236115776,0.055
217.7726203619258,0.055
217.7726683626938,0.055
217.7727163634618,0.049999997
217.7727643642298,0.055
217.77281236499783,0.049999997
217.77286036576584,0.055
217.77290836653384,0.055
217.77295636730187,0.055
217.77300436806988,0.049999997
217.77305236883788,0.055
217.7731003696059,0.049999997
217.77314837037392,0.055
217.77319637114192,0.055
217.77324437190993,0.055
217.77329237267796,0.049999997
217.77334037344596,0.055
217.77338837421397,0.055
217.773436374982,0.055
217.77348437575,0.055
217.773532376518,0.06
217.773580377286,0.055
217.77362837805404,0.055
217.77367637882205,0.055
217.77372437959005,0.055
217.77377238035808,0.055
217.7738203811261,0.049999997
217.7738683818941,0.055
217.77391638266212,0.055
217.77396438343013,0.055
217.77401238419813,0.049999997
217.77406038496613,0.055
217.77410838573417,0.055
217.77415638650217,0.055
217.77420438727017,0.055
217.7742523880382,0.049999997
217.7743003888062,0.055
217.77434838957421,0.055
217.77439639034222,0.055
217.77444439111025,0.055
217.77449239187825,0.055
217.77454039264626,0.055
217.7745883934143,0.049999997
217.7746363941823,0.049999997
217.7746843949503,0.049999997
217.77473239571833,0.055
217.77478039648634,0.049999997
217.77482839725434,0.049999997
217.77487639802234,0.049999997
217.77492439879038,0.049999997
217.77497239955838,0.055
217.77502040032638,0.049999997
217.77506840109442,0.055
217.77511640186242,0.055
217.77516440263042,0.06
217.77521240339843,0.055
