Tiempo (s),Datos
201.2410118561897,0.049999997
201.2410598569577,0.055
201.24110785772572,0.055
201.24115585849373,0.055
201.24120385926173,0.049999997
201.24125186002973,0.055
201.24129986079777,0.055
201.24134786156577,0.049999997
201.24139586233377,0.049999997
201.2414438631018,0.055
201.2414918638698,0.055
201.24153986463782,0.055
201.24158786540585,0.049999997
201.24163586617385,0.055
201.24168386694186,0.055
201.24173186770986,0.055
201.2417798684779,0.049999997
201.2418278692459,0.055
201.2418758700139,0.049999997
201.24192387078193,0.055
201.24197187154994,0.049999997
201.24201987231794,0.049999997
201.24206787308594,0.055
201.24211587385398,0.055
201.24216387462198,0.055
201.24221187538998,0.055
201.24225987615802,0.055
201.24230787692602,0.055
201.24235587769402,0.055
201.24240387846206,0.049999997
201.24245187923006,0.049999997
201.24249987999806,0.055
201.24254788076607,0.049999997
201.2425958815341,0.055
201.2426438823021,0.055
201.2426918830701,0.055
201.24273988383814,0.055
201.24278788460614,0.055
201.24283588537415,0.049999997
201.24288388614215,0.055
201.24293188691018,0.055
201.2429798876782,0.055
201.2430278884462,0.055
201.24307588921423,0.055
201.24312388998223,0.055
201.24317189075023,0.049999997
201.24321989151827,0.049999997
201.24326789228627,0.055
201.24331589305427,0.055
201.24336389382228,0.065
201.2434118945903,0.055
201.2434598953583,0.06
201.24350789612632,0.06
201.24355589689435,0.06
201.24360389766235,0.049999997
201.24365189843036,0.049999997
201.24369989919836,0.055
201.2437478999664,0.055
201.2437959007344,0.049999997
201.2438439015024,0.049999997
201.24389190227043,0.049999997
201.24393990303844,0.049999997
201.24398790380644,0.049999997
201.24403590457447,0.055
201.24408390534248,0.049999997
201.24413190611048,0.055
201.2441799068785,0.055
201.24422790764652,0.055
201.24427590841452,0.055
201.24432390918253,0.055
201.24437190995056,0.055
201.24441991071856,0.055
201.24446791148657,0.055
201.24451591225457,0.055
201.2445639130226,0.055
201.2446119137906,0.049999997
201.2446599145586,0.055
201.24470791532664,0.06
201.24475591609465,0.055
201.24480391686265,0.055
201.24485191763068,0.049999997
201.2448999183987,0.049999997
201.2449479191667,0.06
201.2449959199347,0.055
201.24504392070273,0.055
201.24509192147073,0.055
201.24513992223874,0.055
201.24518792300677,0.049999997
201.24523592377477,0.055
201.24528392454278,0.055
201.24533192531078,0.055
201.2453799260788,0.055
201.24542792684682,0.049999997
201.24547592761482,0.055
201.24552392838285,0.055
201.24557192915086,0.049999997
201.24561992991886,0.055
201.2456679306869,0.049999997
201.2457159314549,0.055
201.2457639322229,0.049999997
201.2458119329909,0.06
201.24585993375894,0.055
201.24590793452694,0.06
201.24595593529494,0.06
201.24600393606298,0.065
201.24605193683098,0.055
201.24609993759898,0.049999997
201.246147938367,0.055
201.24619593913502,0.049999997
201.24624393990302,0.049999997
201.24629194067103,0.055
201.24633994143906,0.055
201.24638794220706,0.06
201.24643594297507,0.049999997
201.2464839437431,0.06
201.2465319445111,0.049999997
201.2465799452791,0.06
201.2466279460471,0.055
201.24667594681515,0.055
201.24672394758315,0.055
201.24677194835115,0.055
201.24681994911919,0.055
201.2468679498872,0.055
201.2469159506552,0.055
201.2469639514232,0.055
201.24701195219123,0.055
201.24705995295923,0.055
201.24710795372724,0.055
201.24715595449527,0.055
201.24720395526327,0.055
201.24725195603128,0.055
201.2472999567993,0.055
201.2473479575673,0.055
201.24739595833532,0.049999997
201.24744395910332,0.049999997
201.24749195987135,0.055
201.24753996063936,0.049999997
201.24758796140736,0.06
201.2476359621754,0.055
201.2476839629434,0.049999997
201.2477319637114,0.055
201.2477799644794,0.055
201.24782796524744,0.049999997
201.24787596601544,0.06
201.24792396678345,0.049999997
201.24797196755148,0.06
201.24801996831948,0.055
201.2480679690875,0.055
201.24811596985552,0.044999998
201.24816397062352,0.06
201.24821197139153,0.049999997
201.24825997215953,0.055
201.24830797292756,0.055
201.24835597369557,0.055
201.24840397446357,0.055
201.2484519752316,0.055
201.2484999759996,0.055
201.2485479767676,0.055
201.24859597753562,0.049999997
201.24864397830365,0.049999997
201.24869197907165,0.06
201.24873997983966,0.055
201.2487879806077,0.055
201.2488359813757,0.055
201.2488839821437,0.055
201.24893198291173,0.055
201.24897998367973,0.055
201.24902798444774,0.055
201.24907598521574,0.049999997
201.24912398598377,0.06
201.24917198675178,0.055
201.24921998751978,0.06
201.2492679882878,0.049999997
201.24931598905582,0.055
201.24936398982382,0.055
201.24941199059182,0.055
201.24945999135986,0.049999997
201.24950799212786,0.049999997
201.24955599289586,0.055
201.2496039936639,0.055
201.2496519944319,0.049999997
201.2496999951999,0.049999997
201.24974799596794,0.055
