Tiempo (s),Datos
192.5418326693227,0.049999997
192.5418806700907,0.055
192.5419286708587,0.049999997
192.54197667162674,0.06
192.54202467239475,0.055
192.54207267316275,0.055
192.54212067393078,0.055
192.5421686746988,0.049999997
192.5422166754668,0.055
192.5422646762348,0.049999997
192.54231267700283,0.049999997
192.54236067777083,0.055
192.54240867853883,0.055
192.54245667930687,0.055
192.54250468007487,0.055
192.54255268084287,0.06
192.5426006816109,0.049999997
192.5426486823789,0.055
192.54269668314691,0.055
192.54274468391492,0.06
192.54279268468295,0.055
192.54284068545095,0.055
192.54288868621896,0.055
192.542936686987,0.06
192.542984687755,0.049999997
192.543032688523,0.055
192.543080689291,0.055
192.54312869005904,0.06
192.54317669082704,0.055
192.54322469159504,0.055
192.54327269236308,0.055
192.54332069313108,0.049999997
192.54336869389908,0.055
192.54341669466712,0.055
192.54346469543512,0.055
192.54351269620312,0.055
192.54356069697113,0.06
192.54360869773916,0.055
192.54365669850716,0.055
192.54370469927517,0.055
192.5437527000432,0.055
192.5438007008112,0.06
192.5438487015792,0.055
192.5438967023472,0.055
192.54394470311524,0.055
192.54399270388325,0.06
192.54404070465125,0.055
192.54408870541928,0.055
192.5441367061873,0.055
192.5441847069553,0.06
192.54423270772332,0.06
192.54428070849133,0.055
192.54432870925933,0.06
192.54437671002734,0.06
192.54442471079537,0.055
192.54447271156337,0.055
192.54452071233138,0.049999997
192.5445687130994,0.055
192.5446167138674,0.055
192.54466471463542,0.06
192.54471271540342,0.049999997
192.54476071617145,0.06
192.54480871693946,0.055
192.54485671770746,0.055
192.5449047184755,0.049999997
192.5449527192435,0.055
192.5450007200115,0.055
192.54504872077953,0.055
192.54509672154754,0.055
192.54514472231554,0.055
192.54519272308355,0.06
192.54524072385158,0.049999997
192.54528872461958,0.049999997
192.54533672538759,0.049999997
192.54538472615562,0.055
192.54543272692362,0.055
192.54548072769163,0.055
192.54552872845963,0.055
192.54557672922766,0.049999997
192.54562472999567,0.055
192.54567273076367,0.055
192.5457207315317,0.055
192.5457687322997,0.055
192.5458167330677,0.055
192.54586473383574,0.055
192.54591273460375,0.055
192.54596073537175,0.055
192.54600873613975,0.06
192.5460567369078,0.049999997
192.5461047376758,0.049999997
192.5461527384438,0.055
192.54620073921183,0.049999997
192.54624873997983,0.049999997
192.54629674074783,0.049999997
192.54634474151584,0.055
192.54639274228387,0.049999997
192.54644074305187,0.06
192.54648874381988,0.049999997
192.5465367445879,0.055
192.54658474535591,0.055
192.54663274612392,0.049999997
192.54668074689195,0.055
192.54672874765996,0.049999997
192.54677674842796,0.055
192.54682474919596,0.055
192.546872749964,0.055
192.546920750732,0.055
192.5469687515,0.055
192.54701675226804,0.055
192.54706475303604,0.055
192.54711275380404,0.055
192.54716075457205,0.055
192.54720875534008,0.055
192.54725675610808,0.055
192.5473047568761,0.055
192.54735275764412,0.055
192.54740075841212,0.049999997
192.54744875918013,0.055
192.54749675994816,0.049999997
192.54754476071616,0.049999997
192.54759276148417,0.055
192.54764076225217,0.055
192.5476887630202,0.06
192.5477367637882,0.055
192.5477847645562,0.055
192.54783276532424,0.055
192.54788076609225,0.055
192.54792876686025,0.055
192.54797676762826,0.055
192.5480247683963,0.049999997
192.5480727691643,0.055
