Tiempo (s),Datos
293.742283876542,0.055
293.74233187731,0.049999997
293.74237987807805,0.055
293.74242787884606,0.055
293.74247587961406,0.055
293.74252388038207,0.06
293.74257188115007,0.06
293.7426198819181,0.055
293.7426678826861,0.055
293.74271588345414,0.055
293.74276388422214,0.055
293.74281188499015,0.049999997
293.74285988575815,0.055
293.74290788652615,0.055
293.74295588729416,0.049999997
293.7430038880622,0.055
293.7430518888302,0.055
293.7430998895982,0.055
293.74314789036623,0.055
293.74319589113423,0.049999997
293.74324389190224,0.055
293.74329189267024,0.055
293.7433398934383,0.055
293.7433878942063,0.055
293.7434358949743,0.06
293.7434838957423,0.06
293.7435318965103,0.049999997
293.7435798972783,0.06
293.7436278980463,0.055
293.7436758988144,0.055
293.7437238995824,0.049999997
293.7437719003504,0.055
293.7438199011184,0.055
293.7438679018864,0.049999997
293.7439159026544,0.044999998
293.7439639034224,0.049999997
293.7440119041905,0.055
293.7440599049585,0.055
293.7441079057265,0.049999997
293.7441559064945,0.055
293.7442039072625,0.055
293.7442519080305,0.06
293.7442999087985,0.06
293.74434790956656,0.06
293.74439591033456,0.055
293.74444391110256,0.049999997
293.74449191187057,0.055
293.7445399126386,0.055
293.7445879134066,0.06
293.74463591417464,0.049999997
293.74468391494264,0.06
293.74473191571064,0.055
293.74477991647865,0.055
293.74482791724665,0.055
293.74487591801466,0.049999997
293.74492391878266,0.055
293.7449719195507,0.055
293.7450199203187,0.055
293.74506792108673,0.049999997
293.74511592185473,0.055
293.74516392262274,0.055
293.74521192339074,0.055
293.74525992415874,0.049999997
293.7453079249268,0.055
293.7453559256948,0.049999997
293.7454039264628,0.06
293.7454519272308,0.049999997
293.7454999279988,0.055
293.7455479287668,0.049999997
293.74559592953483,0.06
293.7456439303029,0.055
293.7456919310709,0.06
293.7457399318389,0.049999997
293.7457879326069,0.049999997
293.7458359333749,0.049999997
293.7458839341429,0.055
293.7459319349109,0.055
293.745979935679,0.06
293.746027936447,0.06
293.746075937215,0.049999997
293.746123937983,0.055
293.746171938751,0.055
293.746219939519,0.055
293.74626794028705,0.055
293.74631594105506,0.055
293.74636394182306,0.055
293.74641194259107,0.055
293.74645994335907,0.049999997
293.7465079441271,0.055
293.7465559448951,0.049999997
293.74660394566314,0.055
293.74665194643114,0.049999997
293.74669994719915,0.055
293.74674794796715,0.055
293.74679594873515,0.055
293.74684394950316,0.055
293.74689195027116,0.055
293.7469399510392,0.06
293.7469879518072,0.049999997
293.74703595257523,0.055
293.74708395334324,0.055
293.74713195411124,0.06
293.74717995487924,0.055
293.74722795564725,0.055
293.7472759564153,0.055
293.7473239571833,0.049999997
293.7473719579513,0.055
293.7474199587193,0.049999997
293.7474679594873,0.06
293.7475159602553,0.055
293.74756396102333,0.049999997
293.7476119617914,0.055
293.7476599625594,0.065
293.7477079633274,0.055
293.7477559640954,0.06
293.7478039648634,0.06
293.7478519656314,0.055
293.7478999663994,0.049999997
293.7479479671675,0.055
293.7479959679355,0.055
293.7480439687035,0.055
293.7480919694715,0.049999997
293.7481399702395,0.055
293.7481879710075,0.049999997
293.74823597177556,0.055
293.74828397254356,0.049999997
293.74833197331156,0.049999997
293.74837997407957,0.055
293.7484279748476,0.055
293.7484759756156,0.049999997
293.7485239763836,0.049999997
293.74857197715164,0.055
293.74861997791965,0.049999997
293.74866797868765,0.055
293.74871597945565,0.055
293.74876398022366,0.055
293.74881198099166,0.055
293.74885998175967,0.055
293.7489079825277,0.065
293.74895598329573,0.055
293.74900398406373,0.065
293.74905198483174,0.055
293.74909998559974,0.055
293.74914798636775,0.055
293.74919598713575,0.055
293.7492439879038,0.049999997
293.7492919886718,0.049999997
293.7493399894398,0.055
293.7493879902078,0.055
293.7494359909758,0.055
293.74948399174383,0.055
293.74953199251183,0.055
293.7495799932799,0.049999997
293.7496279940479,0.055
293.7496759948159,0.055
293.7497239955839,0.049999997
293.7497719963519,0.049999997
293.7498199971199,0.055
293.749867997888,0.049999997
293.749915998656,0.055
